rmm_name,indicators,matched_files,match_count,guids
Microsoft Quick Assist,quickassist.exe,,0,
MultCloud,requires sign up,,0,
Faronics Deploy,C:\Program Files (x86)\Faronics\Faronics Deploy Agent\*;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FaronicsDeployAgent.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FWAService.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FWA_UI_Agent.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FRCServer.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FaronicsSA.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\FSSInstaller.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\ModulesUpgradeMgr.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\NotificationHelper.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\UserNotificationHelper.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\MigrationHelper_32.exe;C:\Program Files (x86)\Faronics\Faronics Deploy Agent\MigrationHelper_64.exe;C:\ProgramData\Faronics\StorageSpace\FWA\*;FaronicsDeployAgent.exe;FWAWebInstaller_*.exe;FWAService.exe;FWA_UI_Agent.exe;CloudWksInstall.exe,,0,
LocalXpose,loclx.exe;loclx;*\loclx.exe;C:\Users\*\AppData\Local\Programs\loclx\loclx.exe;/usr/local/bin/loclx;%APPDATA%\loclx\*,,0,
Monitic,C:\Program Files\Monitic\*;C:\Program Files\Monitic\agent.exe;C:\Program Files\Monitic\amon.exe;C:\Program Files\Monitic\conf.json,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,6,
Goverlan,goverrmc.exe;govsrv*.exe;GovAgentInstallHelper.exe;GovAgentx64.exe;GovReachClient.exe;C:\Program Files (x86)\PJ Technologies\GOVsrv\*;*\PJ Technologies\GOVsrv\*;*\GovSrv.exe,,0,
RemotePass,remotepass-access.exe;rpaccess.exe;rpwhostscr.exe,,0,
GoToAssist,gotoassist.exe;g2a*.exe;GoTo Assist Opener.exe;g2mcomm.exe;g2mupdate.com;goto opener.exe;g2ax_comm_customer.exe,,0,
ISL Online,islalwaysonmonitor.exe;isllight.exe;isllightservice.exe;ISLLightClient.exe;C:\Program Files (x86)\ISL Online\ISL Light*;*\ISL Online\ISL Light*;*\ISLLight.exe,,0,
Mikogo,mikogo.exe;mikogo-starter.exe;mikogo-service.exe;mikogolauncher.exe;C:\Users\*\AppData\Roaming\Mikogo\*;*Users\*\AppData\Roaming\Mikogo\*;*\Mikogo-Service.exe;*\Mikogo-Screen-Service.exe,,0,
Level.io,level-windows-amd64.exe;level.exe;level-remote-control-ffmpeg.exe,,0,
Iperius Remote,iperius.exe;iperiusremote.exe,,0,
MioNet (WD Anywhere Access),mionet.exe;mionetmanager.exe,,0,
BeyondTrust (Bomgar),bomgar-scc-*.exe;bomgar-scc.exe;bomgar-pac-*.exe;bomgar-pac.exe;bomgar-rdp.exe,,0,
HelpU,helpu_install.exe;HelpuUpdater.exe;HelpuManager.exe,,0,
DeskShare,TeamTaskManager.exe;DSGuest.exe,,0,
GLPI Agent,C:\Program Files\GLPI-Agent\*;C:\Program Files\GLPI-Agent\perl\bin\*;C:\Program Files\GLPI-Agent\etc\*;C:\Program Files\GLPI-Agent\var\*;C:\Program Files\GLPI-Agent\logs\*;/usr/bin/glpi-agent;/usr/local/bin/glpi-agent;/etc/glpi-agent/*;/var/lib/glpi-agent/*;/Applications/GLPI-Agent/*;/Applications/GLPI-Agent/etc/*,,0,
Auvik,auvik.engine.exe;auvik.agent.exe,,0,
Remote Ripple,C:\Program Files\Remote Ripple\*;C:\Program Files (x86)\Remote Ripple\*;RemoteRipple.exe,,0,
DesktopNow,desktopnow.exe,,0,
Splashtop (Beta),SRServer.exe;SplashtopSOS.exe;Splashtop_Streamer_Windows*.exe;SRManager.exe,,0,
DeskDay,ultimate_*.exe,,0,
Rodex RMM,RodexAgent.exe;rodexagent.exe;C:\Program Files\Rodex\RodexAgent.exe;C:\Windows\<random>.exe,,0,
ZOC,C:\Program Files\ZOC8\*;*\ZOC?\*;*\zoc.exe,,0,
Yandex.Disk,C:\Program Files (x86)\Yandex\*;*\Yandex\*;*\YandexDisk2.exe,,0,
Anyplace Control,apc_host.exe,,0,
Adobe Connect,ConnectAppSetup*.exe;ConnectShellSetup*.exe;Connect.exe;ConnectDetector.exe,asr_lua_5.bin;asr_lua_5.bin.txt,2,
MyIVO,myivomgr.exe;myivomanager.exe,,0,
HopToDesk,C:\Program Files (x86)\HopToDesk\HopToDesk.exe;HopToDesk.exe;HopToDesk-Standalone.exe,,0,
SkyFex,Deskroll.exe;DeskRollUA.exe,,0,
FleetDeck.io,C:\Program Files (x86)\FleetDeck Agent\fleetdeck_agent_svc.exe;C:\Program Files (x86)\FleetDeck Agent\*\fleetdeck_agent.exe;C:\Program Files (x86)\FleetDeck Agent\*\fd_agent.dll;C:\Windows\Temp\FleetDeck\*;fleetdeck-agent.exe;fleetdeck_agent_svc.exe;fleetdeck_commander_svc.exe;fleetdeck_installer.exe;fleetdeck_commander_launcher.exe;fleetdeck_agent.exe;fleetdeck-agent.msi;fleetdeck-agent.mst,,0,
GotoHTTP,GotoHTTP_x64.exe;gotohttp.exe;GotoHTTP*.exe,,0,
KickIdler,grabberEM.*msi;grabberTT*.msi,,0,
Parallels Access,parallelsaccess-*.exe;TSClient.exe;prl_deskctl_agent.exe;prl_deskctl_wizard.exe;prl_pm_service.exe,,0,
Onionshare,C:\Program Files (x86)\OnionShare\*;*\OnionShare\*;*\onionshare*.exe;OnionShare-win*.msi,,0,
Jump Desktop,jumpclient.exe;jumpdesktop.exe;jumpservice.exe;jumpconnect.exe;jumpupdater.exe,,0,
Site24x7,MEAgentHelper.exe;MonitoringAgent.exe;Site24x7WindowsAgentTrayIcon.exe;Site24x7PluginAgent.exe,asr_lua_21.bin;asr_lua_21.bin.txt,2,
NetLock RMM,NetLock_RMM_Agent_Installer.exe;NetLock_RMM_Agent_Installer;/var/0x101_Cyber_Security/*;/Library/Application Support/0x101_Cyber_Security/*;/usr/local/bin/0x101_Cyber_Security/Netlock_RMM/*;/usr/0x101_Cyber_Security/Netlock_RMM/*;C:\ProgramData\0x101 Cyber Security\NetLock RMM\Comm Agent\*;C:\Program Files\0x101 Cyber Security\NetLock RMM\UserAgent\NetLock_RMM_User_Process.exe;C:\Program Files\0x101 Cyber Security\NetLock RMM\UserAgent\NetLock_RMM_User_UAC.exe,,0,
Rocket Remote Desktop,RDConsole.exe;RocketRemoteDesktop_Setup.exe,,0,
ITSupport247 (ConnectWise),saazapsc.exe,,0,
ITSupport247 (ConnectWise),saazapsc.exe,,0,
Insync,C:\Users\USERNAME\AppData\Roaming\Insync\App\Insync.exe;*Users\*\AppData\Roaming\Insync\App\Insync.exe;*\Insync.exe,,0,
AweRay,aweray_remote*.exe;AweSun.exe,,0,
Nezha,C:\nezha\*;C:\Program Files\nezha\*;*\nezha-agent.exe;nezha-agent.exe;dashboard-windows-amd64.exe;/opt/nezha/*;/opt/nezha/agent;/opt/nezha/agent/nezha-agent;/opt/nezha/dashboard;/etc/systemd/system/nezha-agent.service;/etc/systemd/system/nezha-dashboard.service;nezha-agent;nezha_agent,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt;asr_lua_5.bin;asr_lua_5.bin.txt,10,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;fe87d1eb-b138-42e6-bae7-9e4a186319d5
RPort,rport.exe,,0,
Zoho Assist,toolsiq.exe;zaservice.exe;ZMAgent.exe;ZohoMeeting.exe;Zohours.exe;zohotray.exe;ZohoURSService.exe;*\ZA_Access.exe;za_connect.exe;connect.exe,asr_lua_5.bin;asr_lua_5.bin.txt,2,
Netop Remote Control (Impero Connect),nhostsvc.exe;nhstw32.exe;ngstw32.exe;Netop Ondemand.exe;nldrw32.exe;rmserverconsolemediator.exe;ImperoInit.exe;Connect.Backdrop.cloud*.exe;ImperoClientSVC.exe,,0,
Controlio,C:\ProgramData\{E0E95C6C-F194-4846-928D-E5538022226D}\;weCliboardListener.exe;bbl.exe;weprtct.exe;wemonc.exe;wesvc.exe;libeay32.dll;ssleay32.dll;wec_launcher_[a-Z0-9]*_.exe;wec_launcher_[a-Z0-9]*_.pkg;weInstSvc.exe,,0,
I'm InTouch,iit.exe;intouch.exe;I'm InTouch Go Installer.exe,,0,
TigerVNC,tigervnc*.exe;winvnc4.exe;C:\Program Files\TightVNC\*;*\TightVNC\*;*\tvnserver.exe,,0,
RustDesk,rustdesk*.exe;rustdesk.exe;C:\Users\*\AppData\Local\rustdesk\rustdesk.exe;C:\Users\*\AppData\Local\rustdesk\*;C:\Program Files\RustDesk,,0,
Free Ping Tool,can't find this one,,0,
Pcvisit,pcvisit.exe;pcvisit_client.exe;pcvisit-easysupport.exe;pcvisit_service_client.exe,,0,
Absolute (Computrace),rpcnet.exe;ctes.exe;ctespersitence.exe;cteshostsvc.exe;rpcld.exe,,0,
Remobo,remobo.exe;remobo_client.exe;remobo_tracker.exe,,0,
Splashtop,C:\Program Files (x86)\Splashtop\*;*\Splashtop\Splashtop Remote\Client for RMM\*;strwinclt.exe,,0,
TeleDesktop,pstlaunch.exe;ptdskclient.exe;ptdskhost.exe,,0,
Remote.it,remote-it-installer.exe;remote.it.exe;remoteit.exe,,0,
Itarian,ITSMAgent.exe;RViewer.exe;ItsmRsp.exe;RAccess.exe;RmmService.exe;ITarianRemoteAccessSetup.exe;RDesktop.exe;ComodoRemoteControl.exe;ITSMService.exe;RHost.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2,
CentraStage (Now Datto),CagService.exe;AEMAgent.exe,,0,
S3 Browser,C:\Program Files (x86)\S3 Browser\*;*\S3 Browser\*;*\s3browser*.exe,,0,
DameWare,SolarWinds-Dameware-DRS*.exe;DameWare Mini Remote Control*.exe;C:\Windows\dwrcs\*;C:\Program Files\SolarWinds\Dameware Mini Remote Control\*;dntus*.exe;dwrcs.exe;*\dwrcs\*;*\dwrcst.exe;DameWare Remote Support.exe;SolarWinds-Dameware-MRC*.exe,,0,
mstsc.exe (Microsoft Remote Desktop Connection),C:\Windows\System32\mstsc.exe;*Windows\System32\mstsc.exe,,0,
Komari,C:\Program Files\Komari\*;C:\komari\*;/opt/komari/*;/usr/local/komari/*;/etc/systemd/system/komari.service;/etc/systemd/system/komari-agent.service,,0,
Lite Manager,C:\Program Files\LiteManager Pro – Viewer\*;*\LiteManager Pro – Viewer\*;*\LMNoIpServer.exe,,0,
Xeox,xeox-agent_x64.exe;xeox_service_windows.exe;xeox-agent_*.exe;xeox-agent_x86.exe,,0,
GoToMyPC,C:\Program Files (x86)\GoToMyPC\*;G2M.exe;%APPDATA%\GoToMeeting\G2M.exe,,0,
GatherPlace-desktop sharing,gp3.exe;gp4.exe;gp5.exe,,0,
Duet Display,duet.exe;DuetSetup.exe;DuetDisp.exe,,0,
ngrok,ngrok.exe;C:\*\ngrok.zip;*\ngrok*,,0,
Seetrol,seetrolcenter.exe;seetrolclient.exe;seetrolmyservice.exe;seetrolremote.exe;seetrolsetting.exe,,0,
Pocket Controller (Soti Xsight),pocketcontroller.exe;wysebrowser.exe;XSightService.exe,,0,
Laplink Everywhere,laplink.exe;laplink-everywhere-setup*.exe;laplinkeverywhere.exe;llrcservice.exe;serverproxyservice.exe;OOSysAgent.exe,,0,
DW Service,dwagsvc.exe;dwagent.exe;dwaglnc.exe,,0,
Panorama9,p9agent*.exe,,0,
Domotz,domotz.exe;Domotz Pro Desktop App.exe;domotz_bash.exe;domotz*.exe;Domotz Pro Desktop App Setup*.exe;domotz-windows*.exe,,0,
VNC,winvnc*.exe;vncserver.exe;winwvc.exe;winvncsc.exe;vncserverui.exe;vncviewer.exe;winvnc.exe,,0,
247ithelp.com (ConnectWise),Remote Workforce Client.exe,,0,
AeroAdmin,aeroadmin.exe;AeroAdmin.exe,,0,
Guacamole,guacd.exe,,0,
Quick Assist,quickassist.exe,,0,
RemSupp,C:\Users\*\AppData\Local\remsupp-updater\installer.exe;C:\Users\*\AppData\Local\Programs\RemSupp\RemSupp.exe;C:\Users\*\AppData\Local\Programs\RemSupp\Uninstall RemSupp.exe,asr_lua_21.bin;asr_lua_21.bin.txt;asr_lua_5.bin;asr_lua_5.bin.txt,4,
SunLogin,OrayRemoteShell.exe;OrayRemoteService.exe;sunlogin*.exe,,0,
ESET Remote Administrator,era.exe;einstaller.exe;ezhelp*.exe;eratool.exe;ERAAgent.exe,,0,
ExtraPuTTY,C:\Users\*\ExtraPuTTY-0.30-2016-01-28-installer.exe;*Users\*\ExtraPuTTY-0.30-2016-01-28-installer.exe;*\ExtraPuTTY-0.30-2016-01-28-installer.exe,,0,
ISL Online,*\ISLLight.exe;isllight.exe;ISLLightClient.exe;C:\Program Files (x86)\ISL Online\ISL Light*;*\ISL Online\ISL Light*;ISLLight.exe;isllightservice.exe;islalwaysonmonitor.exe,,0,
Ultra VNC,C:\Program Files\uvnc bvba\UltraVNC\*;*\uvnc bvba\UltraVNC\*;*\UVNC_Launch.exe;*\winvnc.exe;*\vncviewer.exe,,0,
Pocket Controller,pocketcontroller.exe;pocketcloudservice.exe;wysebrowser.exe,,0,
ManageEngine,InstallShield Setup.exe;ManageEngine_Remote_Access_Plus.exe;*\dcagentservice.exe;C:\Program Files (x86)\DesktopCentral_Agent\bin\*;*\DesktopCentral_Agent\bin\*,asr_lua_21.bin;asr_lua_21.bin.txt,2,
Net Monitor for Employees,C:\Program Files (x86)\Net Monitor for Employees Pro\*;C:\Program Files\Net Monitor for Employees Pro\*;nmep_agtconfig.exe;nmep_ctrlagent.exe;nmep_ctrlagentsvc.exe;winpty-agent.exe;winpty-agent64.exe,,0,
BeAnyWhere,basuptshelper.exe;basupsrvcupdate.exe;BASupApp.exe;BASupSysInf.exe;BASupAppSrvc.exe;TakeControl.exe;BASupAppElev.exe;basupsrvc.exe,asr_lua_21.bin;asr_lua_21.bin.txt,2,
iDrive,C:\ProgramData\IDrive\*;C:\Program Files\IDrive\*;C:\Program Files (x86)\IDrive\*;C:\Users\*\AppData\Local\IDrive\*;C:\Users\*\Downloads\IDriveWinSetup.exe;IDriveWinSetup.exe;IDriveEClassic.exe;id_tray.exe;IDComponent.dll,,0,
NVDA (Non-Visual Desktop Access),C:\Program Files (x86)\NVDA\nvda.exe;C:\Program Files\NVDA\nvda.exe;C:\Users\*\AppData\Roaming\nvda\*;C:\Users\*\AppData\Local\Temp\nvda_*\*;nvda.exe;nvda_service.exe;nvda_*.exe,,0,
ServerEye,servereye*.exe;ServiceProxyLocalSys.exe,,0,
UltraVNC,UltraVNC*.exe,,0,
ManageEngine ServiceDesk Plus,ManageEngine_ServiceDesk_Plus.exe;ManageEngine_ServiceDesk_Plus.bin;C:\Program Files\ManageEngine\ServiceDesk\*;C:\Program Files (x86)\ManageEngine\ServiceDesk\*,,0,
Lunixar,C:\Program Files\Lunixar\*;*\Lunixar\Lunixar.exe;*\Lunixar\Lunixar.dll;*\Lunixar\Lunixar.Agent.Core.dll;*\Lunixar\LunixarRemote.exe;*\Lunixar\LunixarRemote.dll;*\Lunixar\LunixarUpdater.exe;*\Lunixar\LunixarUpdater.dll;LunixarRMM*.msi;Googlemeet.msi;eDocument-*.msi,,0,
TiFLUX,C:\Program Files (x86)\TiFLUX\*;C:\Program Files (x86)\TiFLUX\desktop\*;C:\Program Files (x86)\TiFLUX\dependencies\*;C:\Program Files (x86)\TiFLUX\dependencies\7zip\*;C:\Program Files (x86)\TiFLUX\dependencies\tar\*;C:\Program Files (x86)\TiFLUX\dependencies\ultravnc\*;C:\Program Files (x86)\TiFLUX\TiService.exe;C:\Program Files (x86)\TiFLUX\TiUpdateService.exe;C:\Program Files (x86)\TiFLUX\si.exe;C:\Program Files (x86)\TiFLUX\desktop\TiAgent.exe;%ProgramData%\Tiflux\*;/Applications/TiAgent.app,,0,
Level.io,level-windows-amd64.exe;level.exe;level-remote-control-ffmpeg.exe,,0,
DragonDisk,C:\Program Files (x86)\Almageste\DragonDisk\*;*\Almageste\DragonDisk\*;*\DragonDisk.exe,,0,
Total Software Deployment,C:\ProgramData\Total Software Deployment\*;*\Total Software Deployment\*;*\tniwinagent.exe;*\Tsdservice.exe,,0,
Comodo RMM,itsmagent.exe;rviewer.exe,,0,
NTR Remote,NTRsupportPro_EN.exe,,0,
NetSupport Manager,pcictlui.exe;pcicfgui.exe;client32.exe;remcmdstub.exe,,0,
Royal Apps,royalserver.exe;royalts.exe,,0,
Dataplicity,/opt/dataplicity/*;/opt/dataplicity/tuxtunnel/*;/usr/local/bin/dataplicity;/etc/systemd/system/dataplicity.service;/etc/init.d/dataplicity,,0,
Solar-PuTTY,C:\Program Files\Solar-Putty-v4\*;*\Solar-Putty-v4\*;*\Solar-PuTTY.exe,,0,
MyGreenPC,mygreenpc.exe,,0,
Bitvise SSH Server,C:\Program Files\Bitvise SSH Server\*;*\Bitvise SSH Server\*;*\BvSshServer-Inst.exe,,0,
RAdmin,C:\Program Files (x86)\Radmin Viewer 3\Radmin.exe;C:\Windows\SysWOW64\rserver30\rserver3.exe;C:\Windows\SysWOW64\rserver30\FamItrfc;C:\Windows\SysWOW64\rserver30\FamItrf2,,0,
TrustConnect,C:\Program Files\TrustConnect Agent\TrustConnectAgent.exe;C:\Program Files\TrustConnect Agent\*;C:\ProgramData\TrustConnect\*;*\TrustConnectAgent.exe;TrustConnectAgent.exe;DocConnect.Agent.exe,,0,
Supremo,*\\supremoremotedesktop\\supremosystem.exe;%USERPROFILE%\\AppData\\Local\\Temp\\SupremoRemoteDesktop\\;C:\\ProgramData\\SupremoRemoteDesktop\\;supremo.exe;supremohelper.exe;supremoservice.exe;SupremoSystem.exe,,0,
GoToAssist Agent Desktop Console,C:\*\G2RDesktopConsole-x64.msi;*\G2RDesktopConsole-x64.msi,,0,
N-Able Advanced Monitoring Agent,Agent_*_RW.exe;BASEClient.exe;BASupApp.exe;BASupSrvc.exe;BASupSrvcCnfg.exe;BASupTSHelper.exe,,0,
PiTunnel,/usr/local/bin/pitunnel;/opt/pitunnel/*;/etc/systemd/system/pitunnel.service,,0,
ezHelp,ezhelpclientmanager.exe;ezHelpManager.exe;ezhelpclient.exe,,0,
Atera,*\AgentPackageNetworkDiscovery.exe;*\AgentPackageTaskScheduler.exe;*\ATERA Networks\AteraAgent\*;*\AteraAgent.exe;atera_agent.exe;ateraagent.exe;C:\Program Files\ATERA Networks\AteraAgent\*;C:\Program Files\Atera Networks;C:\Program Files (x86)\Atera Networks;syncrosetup.exe,asr_lua_5.bin;asr_lua_5.bin.txt,2,
RemoteCall,rcengmgru.exe;rcmgrsvc.exe;rxstartsupport.exe;rcstartsupport.exe;raautoup.exe;agentu.exe;remotesupportplayeru.exe,,0,
PDQ Connect,pdq-connect*.exe;PDQConnectUpdater-*.msi,,0,
Remote Desktop Plus,rdp.exe,,0,
InvGate,C:\Program Files (x86)\Inventec\InvGate.net Client\*;C:\Program Files (x86)\Inventec\InvGate.net Client\InvGate-ED.exe;C:\Program Files (x86)\Inventec\InvGate.net Client\DepHlp.exe;C:\Program Files (x86)\Inventec\InvGate.net Client\files\InvGateAssetsRD.exe;C:\Program Files (x86)\Inventec\InvGate.net Client\files\InvGateRD.exe;C:\Program Files (x86)\Inventec\InvGate.net Client\files\sas.dll;C:\Program Files (x86)\Inventec\InvGate.net Client\Software Matt.dll,,0,
RuDesktop,rd.exe;rudesktop*.exe,asr_lua_20.bin;asr_lua_20.bin.txt;asr_lua_22.bin;asr_lua_22.bin.txt;asr_lua_23.bin;asr_lua_23.bin.txt,6,23356722-c906-4042-943d-cf158e848200;2d7e690e-b8ca-484d-bb19-f3f4d460bebb;3eef301f-b596-4c0b-bd92-013beafce793;5b6f47cc-82e3-4a14-a807-2356e5874779;70823b4b-bb48-4d30-adf4-be67a41e2f65;b96c46d4-a2bf-4e3d-954f-f082b14fe155;fe87d1eb-b138-42e6-bae7-9e4a186319d5
TurboMeeting,pcstarter.exe;turbomeeting.exe;turbomeetingstarter.exe,,0,
Sorillus,Sorillus-Launcher*.exe;Sorillus Launcher.exe,,0,
ToDesk,todesk.exe;ToDesk_Service.exe;ToDesk_Setup.exe,,0,
Quest KACE Agent (formerly Dell KACE),konea.exe,,0,
Faronics Core,C:\Program Files\Faronics\Faronics Core\*;C:\Program Files\Faronics\Faronics Core\Workstation Agent\*;C:\Program Files\Faronics\Core\Console\*;C:\Program Files (x86)\Faronics\Faronics Core\*;*\Faronics\Faronics Core\Workstation Agent\FaronicsCoreAgent.exe;*\Faronics\Faronics Core\Workstation Agent\CoreAgentService.exe;C:\ProgramData\Faronics\FCAForStartupMonitor.msi;FaronicsCoreAgent.exe;CoreAgentService.exe,,0,
